#{"t_start": 1733937062.673066, "env_id": "CartPole-v1"}
r,l,t
9.0,9,0.683239
15.0,15,0.6913
45.0,45,0.717355
11.0,11,0.723247
49.0,49,0.749457
20.0,20,0.7603
23.0,23,0.77288
24.0,24,0.784195
18.0,18,0.792075
30.0,30,0.806347
140.0,140,0.870882
44.0,44,0.890963
82.0,82,0.945389
75.0,75,0.987894
107.0,107,1.051769
203.0,203,1.146437
161.0,161,1.235887
250.0,250,1.526662
500.0,500,1.771699
284.0,284,1.937928
155.0,155,2.053464
322.0,322,2.283119
186.0,186,2.396409
188.0,188,2.541319
226.0,226,3.002016
344.0,344,3.20181
129.0,129,3.283893
189.0,189,3.419178
119.0,119,3.474238
315.0,315,3.654414
148.0,148,3.733558
500.0,500,3.975458
500.0,500,4.239495
500.0,500,4.480797
500.0,500,5.019504
500.0,500,5.266161
500.0,500,5.644021
420.0,420,5.951976
418.0,418,6.435867
500.0,500,6.731291
500.0,500,7.121222
204.0,204,7.415657
155.0,155,7.490734
148.0,148,7.565484
180.0,180,7.652418
158.0,158,7.738427
125.0,125,7.795645
146.0,146,7.859961
151.0,151,7.93792
148.0,148,8.03091
119.0,119,8.09017
123.0,123,8.147614
159.0,159,8.219934
137.0,137,8.283791
110.0,110,8.37924
126.0,126,8.443062
60.0,60,8.471693
62.0,62,8.502998
67.0,67,8.53443
121.0,121,8.589334
68.0,68,8.623308
85.0,85,8.661108
105.0,105,8.708325
104.0,104,8.762903
167.0,167,8.83986
124.0,124,8.894793
