#{"t_start": 1733922440.811038, "env_id": "HalfCheetah-v4"}
r,l,t
-355.613249,1000,1.846229
-414.629155,1000,2.771152
-419.367418,1000,3.32756
-319.934133,1000,3.937382
-353.080515,1000,4.5037
-345.599049,1000,5.00824
-357.235353,1000,5.514707
-169.408745,1000,6.151028
-215.598826,1000,6.72578
-245.629911,1000,7.282461
-54.82386,1000,7.937851
15.054864,1000,8.621886
87.308561,1000,9.274132
150.060813,1000,9.913109
43.214789,1000,10.671746
149.619903,1000,11.490455
73.013853,1000,12.322439
168.867125,1000,12.896681
184.591432,1000,13.443112
264.607722,1000,14.009971
235.432016,1000,14.585595
99.240054,1000,15.134195
221.513398,1000,15.732918
274.35446,1000,16.330876
184.603091,1000,17.098455
228.564247,1000,18.540467
325.686363,1000,19.090867
207.910774,1000,19.707615
117.567906,1000,20.265552
281.01523,1000,20.786196
227.13014,1000,21.371464
288.901363,1000,22.104213
273.405153,1000,22.659993
257.050895,1000,23.262703
242.656833,1000,23.937406
340.071945,1000,24.520954
297.370175,1000,25.463615
368.149138,1000,26.108288
373.837023,1000,26.899407
360.973044,1000,27.375296
379.707774,1000,27.858883
338.757322,1000,28.429231
553.665565,1000,29.29464
425.505475,1000,29.858905
407.802106,1000,30.504473
411.019435,1000,31.000959
478.366811,1000,32.434347
618.543316,1000,33.569597
430.038342,1000,34.089377
460.097835,1000,34.63744
345.58155,1000,35.968782
501.545213,1000,36.675415
260.383256,1000,37.321091
370.676033,1000,37.910416
435.25779,1000,38.433933
349.530592,1000,39.011473
353.087887,1000,39.648401
345.187989,1000,40.271671
384.547128,1000,40.911434
432.586414,1000,41.568679
276.162509,1000,42.117073
347.040511,1000,42.662645
402.068033,1000,43.174886
445.336135,1000,43.687906
452.801654,1000,44.188401
438.94747,1000,44.712358
454.988788,1000,45.245686
469.673108,1000,45.767688
411.023214,1000,46.286082
473.866177,1000,46.807888
457.167163,1000,47.329235
470.98488,1000,47.87761
375.218276,1000,48.384712
448.093715,1000,48.885569
443.559169,1000,49.398687
476.357724,1000,50.735895
424.696583,1000,51.25005
347.634257,1000,51.756113
423.742347,1000,52.415666
442.00773,1000,52.949541
497.629167,1000,53.45941
