#{"t_start": 1733935512.165379, "env_id": "CartPole-v1"}
r,l,t
18.0,18,0.860702
18.0,18,0.93777
21.0,21,0.95483
63.0,63,1.048176
55.0,55,1.162297
75.0,75,1.267717
27.0,27,1.303626
151.0,151,1.485742
150.0,150,1.698169
167.0,167,1.97323
86.0,86,2.141974
164.0,164,2.393957
193.0,193,2.672428
216.0,216,2.959088
275.0,275,3.322574
281.0,281,3.664929
156.0,156,3.896756
342.0,342,4.35673
442.0,442,4.929834
112.0,112,5.118719
123.0,123,5.387618
500.0,500,6.213003
500.0,500,6.860092
500.0,500,7.47795
500.0,500,8.047161
500.0,500,8.630877
500.0,500,9.217041
500.0,500,10.415539
500.0,500,11.277833
500.0,500,12.180562
500.0,500,13.095491
500.0,500,14.035975
500.0,500,14.836331
500.0,500,15.928832
500.0,500,16.773112
500.0,500,17.741069
500.0,500,18.43421
500.0,500,19.10262
500.0,500,19.708962
