#{"t_start": 1733938131.298526, "env_id": "HalfCheetah-v4"}
r,l,t
-53.066038,1000,1.346843
-49.577164,1000,2.301278
-39.556047,1000,3.279894
-31.04344,1000,4.334653
-15.974102,1000,5.221489
-15.297864,1000,6.041288
6.565778,1000,6.90757
27.484881,1000,7.698583
29.548563,1000,8.608415
76.781952,1000,9.420711
102.07712,1000,10.251221
145.856494,1000,11.078734
247.205735,1000,11.906443
222.318912,1000,12.71488
42.946403,1000,13.942255
139.457827,1000,14.890007
249.122169,1000,15.757055
141.24553,1000,16.839828
217.916111,1000,17.910705
329.843982,1000,19.064192
0.925144,1000,20.120251
418.190143,1000,20.842157
418.814408,1000,21.99393
30.233354,1000,22.860946
316.131335,1000,23.83242
366.682518,1000,25.619713
220.556599,1000,26.649546
495.495601,1000,27.771736
556.370357,1000,28.941536
405.497669,1000,30.077461
24.358378,1000,31.190862
239.765405,1000,32.462273
531.994866,1000,33.574287
301.898432,1000,34.596485
207.689577,1000,35.610213
18.198675,1000,36.519841
643.385066,1000,37.45606
604.404623,1000,38.500209
712.310446,1000,39.375678
567.599047,1000,40.165656
143.400736,1000,40.97957
523.306375,1000,41.790762
808.749259,1000,42.351974
232.766788,1000,43.34619
24.103412,1000,44.451501
830.659477,1000,45.250985
496.757349,1000,46.204646
571.162709,1000,47.141968
883.609867,1000,47.95066
920.480928,1000,49.024347
858.978861,1000,50.852379
391.222849,1000,51.706017
1051.512868,1000,52.587103
1092.724369,1000,53.468545
95.611449,1000,54.285268
137.721442,1000,55.140008
309.438559,1000,56.058707
529.438163,1000,56.932819
66.298213,1000,57.746456
1106.310142,1000,58.543527
884.46815,1000,59.436676
690.747379,1000,60.232317
229.79187,1000,61.02715
1017.371585,1000,61.555811
1321.810778,1000,62.33623
1336.661775,1000,63.142102
37.647791,1000,63.938211
45.654797,1000,64.726457
420.170221,1000,65.502273
35.679858,1000,66.289939
1072.33688,1000,67.08412
1288.017633,1000,67.867329
1255.676623,1000,68.633475
1406.083937,1000,69.505342
1447.802535,1000,70.303961
1553.099722,1000,71.920969
1550.887123,1000,72.704607
1594.196993,1000,73.500942
1457.258064,1000,74.282736
1688.997254,1000,75.056564
1639.687931,1000,75.845865
1657.817272,1000,76.685837
286.828733,1000,77.478744
1738.896698,1000,78.263139
1113.289982,1000,79.10101
600.768094,1000,79.622696
1777.024986,1000,80.408874
1801.618028,1000,81.204151
1838.872079,1000,81.996338
101.953712,1000,82.788371
1828.256858,1000,83.58169
1973.726439,1000,84.364099
1987.407983,1000,85.130752
2025.29359,1000,85.918144
1533.217062,1000,86.742768
2081.820161,1000,87.522128
2054.273863,1000,88.297792
2002.901153,1000,89.107694
1368.63433,1000,90.070681
2228.254984,1000,90.853225
2091.089343,1000,92.653879
1104.306145,1000,93.478817
2291.583095,1000,94.256258
2252.794212,1000,95.027466
2331.345473,1000,95.818176
62.801685,1000,96.608913
2232.434499,1000,97.145782
2423.685482,1000,97.917768
2328.429509,1000,98.70933
2411.225362,1000,99.579675
2336.565542,1000,100.368883
2435.646703,1000,101.145695
