#{"t_start": 1733936065.123837, "env_id": "CartPole-v1"}
r,l,t
13.0,13,0.743467
12.0,12,0.74762
15.0,15,0.828332
40.0,40,0.87629
23.0,23,0.917797
14.0,14,0.921742
14.0,14,0.965319
14.0,14,0.969886
18.0,18,1.009334
55.0,55,1.058781
81.0,81,1.177528
53.0,53,1.229869
97.0,97,1.38047
117.0,117,1.511603
143.0,143,1.757864
242.0,242,2.205113
190.0,190,2.502387
206.0,206,2.961199
330.0,330,3.394052
233.0,233,3.690167
101.0,101,3.838484
114.0,114,4.049776
113.0,113,4.198491
27.0,27,4.248146
122.0,122,4.452434
129.0,129,4.6714
144.0,144,4.969101
391.0,391,5.616709
281.0,281,6.196246
288.0,288,6.655923
377.0,377,7.119898
172.0,172,7.360444
171.0,171,7.573012
144.0,144,7.767112
91.0,91,7.868975
182.0,182,8.123042
347.0,347,8.671165
265.0,265,9.021589
200.0,200,9.305987
280.0,280,9.649359
500.0,500,10.778909
500.0,500,11.449875
500.0,500,12.08159
500.0,500,12.742675
500.0,500,13.343627
500.0,500,13.991854
500.0,500,14.778514
500.0,500,15.723695
500.0,500,16.383547
500.0,500,17.046331
500.0,500,17.744776
500.0,500,18.523927
500.0,500,19.242307
