#{"t_start": 1733920821.793185, "env_id": "HalfCheetah-v4"}
r,l,t
-417.375036,1000,1.084208
-353.045304,1000,1.633439
-214.158118,1000,2.192958
-381.431233,1000,2.677864
-141.832575,1000,3.172897
-483.537406,1000,3.648604
-368.292077,1000,4.110313
-322.856157,1000,4.609238
-360.657262,1000,5.120297
-361.083759,1000,5.573404
-265.720613,1000,6.074875
-201.97239,1000,6.503582
-149.097581,1000,7.761429
-37.663923,1000,8.312608
-86.55973,1000,8.776526
-96.998429,1000,9.364074
4.898567,1000,9.944603
-49.879802,1000,10.424338
-45.145856,1000,10.877324
-1.524316,1000,11.346641
49.623599,1000,11.808595
10.709674,1000,12.412327
18.303255,1000,12.932082
83.139125,1000,13.484472
-9.209465,1000,14.055912
168.948783,1000,15.445534
66.368682,1000,15.958062
148.715103,1000,16.485688
251.231377,1000,17.001495
198.340123,1000,17.515329
220.223872,1000,18.136876
130.748281,1000,18.625341
357.72466,1000,19.16041
163.86687,1000,19.695908
263.91897,1000,20.148424
-51.675256,1000,20.597689
-123.596144,1000,21.035178
256.744556,1000,22.212416
205.54361,1000,22.659625
302.805212,1000,23.097807
277.696539,1000,23.530846
411.196316,1000,24.075223
304.224016,1000,24.373665
174.543925,1000,24.917923
461.216646,1000,25.510179
453.716514,1000,26.090936
353.029241,1000,26.567294
317.482512,1000,27.012063
476.683118,1000,27.450077
500.572443,1000,27.882113
482.53237,1000,29.042201
435.496057,1000,29.487505
538.500948,1000,29.932401
422.328168,1000,30.367948
572.926425,1000,30.79851
475.334744,1000,31.255117
537.721268,1000,31.696374
605.213734,1000,32.13021
634.675885,1000,32.565456
564.612209,1000,33.002379
486.268756,1000,33.440737
441.561958,1000,33.888947
617.293506,1000,35.039269
564.689725,1000,35.472757
590.449042,1000,36.061362
608.478566,1000,36.601454
710.438722,1000,37.057904
717.060065,1000,37.557447
685.215971,1000,38.297135
810.305681,1000,38.891122
786.423477,1000,39.432047
779.625526,1000,39.993567
778.915292,1000,40.456691
668.795045,1000,40.911728
689.348245,1000,41.393352
714.440036,1000,42.566515
804.799522,1000,43.02681
798.89746,1000,43.509235
671.105888,1000,43.971591
800.900488,1000,44.41744
815.381233,1000,44.864777
808.699496,1000,45.318754
788.519033,1000,45.77465
814.054794,1000,46.255959
771.843291,1000,46.711
814.390167,1000,46.986261
912.128268,1000,47.43665
917.795769,1000,48.636594
928.685142,1000,49.090763
872.098336,1000,49.536061
851.454451,1000,49.996569
845.582306,1000,50.457632
779.804933,1000,50.925943
823.845164,1000,51.373815
946.579728,1000,51.8651
989.848963,1000,52.323285
929.779182,1000,52.798371
864.903813,1000,53.245735
883.25518,1000,53.694816
872.435104,1000,54.131171
646.178742,1000,55.309954
764.787407,1000,55.743907
951.672858,1000,56.189133
827.448686,1000,56.623979
869.511856,1000,57.057669
896.880467,1000,57.495489
902.051474,1000,57.928589
910.710233,1000,58.393577
973.344949,1000,58.85188
882.691041,1000,59.288816
982.072522,1000,59.73645
970.13954,1000,60.172915
971.246632,1000,61.343121
992.007442,1000,61.776528
979.971659,1000,62.219926
994.526266,1000,62.672767
959.849086,1000,63.145241
896.07009,1000,63.603896
986.389419,1000,64.040911
980.084901,1000,64.502635
1105.243418,1000,64.928552
1065.703804,1000,65.364295
983.794116,1000,65.798067
1055.069273,1000,66.227359
924.045891,1000,66.665296
1066.195342,1000,67.831562
